微博ID,用户id,用户昵称,微博链接,是否为原创微博,内容,转发理由,原始用户,发布位置,发布时间,信息采集时间,关键词,发布工具,转发数,评论数,点赞数
IzZNro55B,1973951077,少了空气-,weibo.cn/1973951077/IzZNro55B,True,武汉地铁已经试运行了，我们也已经不再恐鄂了，看到车主把车尾牌照遮的严严实实的，其实大可不必了。 南京  显示地图 原图 ,/,/,无,2020-03-23 23:59,2020/03/24 00:00:12,地铁,iPhone客户端,0,0,0
IzZNqvM2y,2844804901,金凯先生,weibo.cn/2844804901/IzZNqvM2y,False,【#武汉地铁已做好恢复运营准备#】23日上午，汉口火车站等地铁站内，保洁人员用喷雾器对车站站厅、站台等处进行无死角地消杀。针对乘客接触频次高的售票机、闸机、扶手、座椅、车门等处进行全面消杀。对于市民最关心的地铁何时恢复运营，武汉地铁运营公司相关负责人表示，网传信息均非官方发布，具体运营恢复时间目前仍未最终确定。http://t.cn/A6ze0u3D ,期待这座城市早日运转起来！  ,人民日报,无,2020-03-23 23:59,2020/03/24 00:00:12,地铁,OPPO Reno,0,0,0
IzZNoaLeo,1857811827,深圳租房团,weibo.cn/1857811827/IzZNoaLeo,True,罗湖区3号线3号线晒布地铁站50米东门天地大厦，35平，一房一厅3500元/月http://t.cn/AiE7Z2bQ  原图 ,/,/,无,2020-03-23 23:59,2020/03/24 00:00:12,地铁,租房团,0,0,0
IzZNoaJue,5626775538,·翠玉抹茶·,weibo.cn/5626775538/IzZNoaJue,True,其实 真的不知道该说什么…我记得凌晨我和朋友信誓旦旦的说你一定会进前二十 记得那天阳光很好的午后，我记得我当时吃到假瓜你进了前二十的欣喜 也记得我看到你没有进去时候的不可置信和在公交车上的放声大哭 从公交车哭到地铁站 也记得跟朋友打电话在朋友接电话的下一秒就哭的上气不接下气的说你被淘汰了 记得你出来鞠躬我哭的一直在重复“对不起” 那天除了“对不起”说的最多的一句话是“你别笑了 我真的受不了了 你哭出来吧 哭出来会好很多” 记得根本没有听进去的试听课 和我担心你就此回南韩 在南韩过你的二十岁生日幸好你去了沙漠和哥哥们一起出道 一起在舞台发光 也参加了好几次活动 现在你也开始了一段新的旅程 这回做你自己 在舞台上闪闪发光你会有很灿烂很美好的未来的#起风了-买辣椒也用券[音乐]# [组图共11张] 原图 ,/,/,无,2020-03-23 23:59,2020/03/24 00:00:12,地铁,无,0,0,0
IzZNmEhzr,3354212624,Zz流浪诗人,weibo.cn/3354212624/IzZNmEhzr,False,"#cardib[超话]#【中字】卡姐Cardi B直播再发声抵制种族歧视！并且向广大网友表示，你们要是把人家中国惹毛了就等着原地爆炸吧红色娘子军卡迪碧又来给美国网友上课了，这回的卡哲通俗易懂:“ 中国是你们这些龟儿子惹不起的哈 ” 军师卡使用毕生所学进行分析，得出美国战争生产力小于中国的重要结论，现卡姐已获得奥斯卡美妆学奖提名卡姐更是呼吁大家众志成城团结一心, 这一次 lets all be one(我们都做1) http://t.cn/A6zesuhO ",原谅我不小心刷到这条微博，理所当然的被标题吸引，顺理成章点开视频用地铁老伯的表情看完了音意双翻的字幕，又满怀期待的来到评论区，然后，再也忍不住——笑出了声果然沙雕网友们从不让人失望  ,CardiBArchive,无,2020-03-23 23:59,2020/03/24 00:00:12,地铁,iPhone客户端,0,0,0
IzZNC2Mny,2210132274,小样就是小飞侠,weibo.cn/2210132274/IzZNC2Mny,True,失眠第三天，外面修地铁真的好吵啊，这么晚还在工作，真不容易啊。混口饭吃真不容易啊……  ,/,/,无,2020-03-23 23:59,2020/03/24 00:00:44,地铁,魅族 16 旗舰手机,0,0,0
IzZNxj2tr,6159211752,夾心_bonbon,weibo.cn/6159211752/IzZNxj2tr,True,快递复工，地铁也在做恢复工作终于快要能出门啦  ,/,/,无,2020-03-23 23:59,2020/03/24 00:00:44,地铁, ฅ 张颜齐的小猴子,0,0,0
IzZNxhELM,6615051722,嘟拉肚啦___VoKuur,weibo.cn/6615051722/IzZNxhELM,True,我不想啊，坐地铁去上班：晕.....；一个时期变一个人16岁慢慢懂得低调17岁慢慢懂得生活不容易18岁慢慢懂得爱不是随便说说19岁慢慢懂得现实社会的残酷20岁一路走过来很不容易陪你一路继续奋斗的只有家人和你最爱的人了  ,/,/,无,2020-03-23 23:59,2020/03/24 00:00:44,地铁,iPhone客户端,0,0,0
IzZNQvlWV,1769832720,海者鱼也,weibo.cn/1769832720/IzZNQvlWV,True,刚想起来 今天帮小侄女买🌸老板说她今天回家发现多了几只猫仔问有没有人想要领养喔地址是深圳宝安兴东地铁站旁社区内的大力花店  [组图共2张] 原图 ,/,/,无,2020-03-24 00:00,2020/03/24 00:01:17,地铁,微博国际版,0,0,0
IzZNPkgox,5228954078,我想和这头鲸鱼谈谈,weibo.cn/5228954078/IzZNPkgox,False,#遇到过哪些奇怪的求助# 我曾经在路上走得好好的，被陌生人拦下来问身上的裤子哪买的  原图 ,哈哈哈哈哈哈哈哈哈哈再见//@可可不剧荒:哈哈哈哈哈哈哈哈//@爱喝可乐的王子:上次在宽窄巷子玩 有个外国人问我貌似地铁站怎么走 我用蹩脚英文七七八八告诉他 他礼貌的谢谢我之后拐角进了派出所  ,假装在采访,无,2020-03-24 00:00,2020/03/24 00:01:17,地铁,HUAWEI P10 Plus,0,0,0
IzZO2BjsA,2831449005,壹叄柒77,weibo.cn/2831449005/IzZO2BjsA,True,听到武汉地铁交通都在大消毒的好消息从一开始的惶恐害怕到每个人尽力贡献自己一份力量  所有的努力没有白费，胜利的曙光终于来了疫情结束后还想看张学友演唱会@张学友全球粉丝联盟  [组图共7张] 原图 ,/,/,无,2020-03-24 00:00,2020/03/24 00:01:55,地铁,iPhone客户端,0,0,0
IzZNYtl5B,3946267921,重庆铜梁小米之家,weibo.cn/3946267921/IzZNYtl5B,True,#成都地铁[超话]# 甘拜下风[允悲]  原图 ,/,/,无,2020-03-24 00:00,2020/03/24 00:01:55,地铁,成都地铁超话,0,0,0
IzZNXig5O,2014562097,小糊涂的亲家,weibo.cn/2014562097/IzZNXig5O,False,"带口罩的三名中国人被白人种族主义者轰出地铁的时候, 同一车厢的人做出了什么反应 ？ 默认&制止 ？ 我翻译了这个结果让人非常意外的社会调查 👇🏼  云登_十尼贝格的微博视频 比利时·布鲁塞尔  ",转发微博  ,云登_十尼贝格,无,2020-03-24 00:00,2020/03/24 00:01:55,地铁,iPhone客户端,0,0,0
IzZNX2FM7,1252044562,am宋宋,weibo.cn/1252044562/IzZNX2FM7,True,地铁站口，20元一束的小美好。 沈阳  显示地图 [组图共2张] 原图 ,/,/,无,2020-03-24 00:00,2020/03/24 00:01:55,地铁,小米8 屏幕指纹版,0,0,0
IzZOjsjrv,2198796037,花树下-MoonRiver,weibo.cn/2198796037/IzZOjsjrv,True,那天下午没送成书和信，回去的地铁上鬼迷了心窍第一次买了关内的票，想着过年回家之前一定要把书和信送出去，因为书的扉页上写了送给他的新年寄语，却没有发现，原来这也是他过年回家的一趟航班，其实不应该去打扰的书没看过，也没有亲手递给他，被他退了回来，现在还在我办公桌的抽屉里，跟他签名的文件夹放在一起，打开抽屉就能看到那天他很累其实他不喜欢被围着拍视频嘴上说不拍镜头对着地上 走两步又举起来我真是个不听话的粉丝 唉 http://t.cn/A6zkmB89 ,/,/,无,2020-03-24 00:01,2020/03/24 00:02:29,地铁,iPhone客户端,0,0,0
IzZOijZYw,5829195301,全球电影中心,weibo.cn/5829195301/IzZOijZYw,True,#武汉地铁已做好恢复运营准备#武汉加油！明年春暖烂漫时再赴约樱花楚天视频的微博视频  ,/,/,无,2020-03-24 00:01,2020/03/24 00:02:29,地铁,无,0,0,0
IzZOdxjL2,1572921657,知廷若画,weibo.cn/1572921657/IzZOdxjL2,False,“真正委屈的 到底是谁呢”  原图 ,想到曾经和朋友们在人比较少 比较偏僻的地铁口遇到wsn露（） 当时害怕的拔腿就跑 一个人坐电梯的时候 碰巧又上来一个男的 会下意识往旁边退一大步 下班回家不敢那路灯少 相对比较暗的小道 作为女子 真的有感到比较被动  ,草莓牛奶味的Haru,无,2020-03-24 00:01,2020/03/24 00:02:29,地铁,zzt🍼iPhone XS Max,0,0,0
IzZOrcnDm,2231136290,我是你的honey你是我的蜜,weibo.cn/2231136290/IzZOrcnDm,False,#当今大学生的择偶标准# 你最真实的择偶标准是什么？  原图 ,除了双性恋那一条。其它都不沾边。我真的！有点怀疑自己双性恋。之前在广州地铁上见到一个着装，气质都特别干净中性的“男子”。真的想和他恋爱了。  ,校园资讯君,无,2020-03-24 00:02,2020/03/24 00:03:00,地铁,nova5Pro人像超级夜景,0,0,0
IzZOnjDpe,2449208827,丨Reveris丨,weibo.cn/2449208827/IzZOnjDpe,False,我曾经以为经历过性骚扰的女孩子很不幸，后来发现大家竟然都挺不幸，最后庆幸没出什么大事已经是不幸中的万幸。  ,被跟过被骚扰过，地铁上被咸猪手，就算对象在旁边也阻止不了奇怪的眼神//@赫敏是花痴:是//@y双海_求一切顺利:感觉…大家都有过吧…  ,挟持爱丽丝,无,2020-03-24 00:02,2020/03/24 00:03:00,地铁,iPhone客户端,0,0,0
IzZOnifnU,2055177705,小树叶过河,weibo.cn/2055177705/IzZOnifnU,False,【#武汉地铁已做好恢复运营准备#】23日上午，汉口火车站等地铁站内，保洁人员用喷雾器对车站站厅、站台等处进行无死角地消杀。针对乘客接触频次高的售票机、闸机、扶手、座椅、车门等处进行全面消杀。对于市民最关心的地铁何时恢复运营，武汉地铁运营公司相关负责人表示，网传信息均非官方发布，具体运营恢复时间目前仍未最终确定。http://t.cn/A6ze0u3D ,开往春天的地铁  ,人民日报,无,2020-03-24 00:02,2020/03/24 00:03:00,地铁,HUAWEI Mate30 Pro 5G,0,0,0
IzZOLf2ej,5953894113,·Fnosubete·,weibo.cn/5953894113/IzZOLf2ej,True,我有时候一个人要出门都是带甩棍的 我背的包都是比较大的 很好放但是可能过不了地铁安检 所以日常需要坐地铁的可能没办法我不是说鼓励大家面对危险时迎难而上哈 就是个预防 遇到了不要心慌 甩棍拿出来第一下直接甩对方腿 然后转身就跑 主要还是要跑哈  ,/,/,无,2020-03-24 00:02,2020/03/24 00:03:38,地铁,无,0,0,0
IzZOLf28s,1752810230,草莓味儿粉色汽水,weibo.cn/1752810230/IzZOLf28s,True,我妈开始天天关心民航什么时候恢复，小道消息一个接一个发给我今天公司开始申请复工了朋友告诉我地铁公交要运行了是在一天天变好吧，也许慢一点，但总归是看到希望了  原图 ,/,/,无,2020-03-24 00:02,2020/03/24 00:03:38,地铁,iPhone客户端,0,0,0
IzZOKnwXv,2745572035,互粉搞笑视频电影,weibo.cn/2745572035/IzZOKnwXv,True,【#武汉地铁已做好恢复运营准备#】停运2个月，随着疫情逐渐好转，武汉地铁何时恢复运营逐渐引人关注。23日，汉口火车站地铁站内，保洁人员身着防护服、头戴护目镜，对车站站厅、站台等处进行无死角消杀。但对于具体的恢复运营时间，武汉地铁运营公司相关负责人表示，网传信息均非官方发布，具体运营恢复时间目前仍未最终确定。via@中国新闻网 http://t.cn/A6ze0u3D ,/,/,无,2020-03-24 00:02,2020/03/24 00:03:38,地铁,iPhone 11 Pro,0,0,0
IzZOHnxlW,2005165207,Sunmibar宣美吧,weibo.cn/2005165207/IzZOHnxlW,True,#宣美[超话]# 💜#百变diva李宣美# 200324【Facebook】宣美@SUNMI_宣美 官方脸书群组更新玫瑰仙子🌹美吧招新【http://t.cn/AiTsmguL】 地铁应援报告【http://t.cn/AinvmjeI】  [组图共2张] 原图 ,/,/,无,2020-03-24 00:02,2020/03/24 00:03:38,地铁,宣美超话,1,1,4
IzZOFmjYT,1927736931,长颈鹿_彭想不出微博名好捉急,weibo.cn/1927736931/IzZOFmjYT,True,迷你地铁告诉我们 想致富 先挖隧道  ,/,/,无,2020-03-24 00:02,2020/03/24 00:03:38,地铁,iPhone客户端,0,0,0
IzZOF2HqD,5992471119,是小玖哇,weibo.cn/5992471119/IzZOF2HqD,True,几天没上微博，今天点开热搜我的表情：地铁老爷爷看手机.jpg所以是一堆男权犯案+疫情扩散+xz洗白了恍惚觉得自己记忆错乱对世界认知出现偏差。真丶魔幻现实。  ,/,/,无,2020-03-24 00:02,2020/03/24 00:03:38,地铁,HUAWEI P20 Pro,0,0,0
IzZOBu8dO,1774464475,请致电该用户,weibo.cn/1774464475/IzZOBu8dO,True,这里真的普通人住不了，每天晚上不是地铁施工就是马路的车辆经过的声音，没有一晚是可以沉睡的，救命[淚][淚][淚]  ,/,/,无,2020-03-24 00:02,2020/03/24 00:03:38,地铁,iPhone客户端,0,0,0
IzZP4ajil,1750123644,老杜-兜兜,weibo.cn/1750123644/IzZP4ajil,False,"带口罩的三名中国人被白人种族主义者轰出地铁的时候, 同一车厢的人做出了什么反应 ？ 默认&制止 ？ 我翻译了这个结果让人非常意外的社会调查 👇🏼  云登_十尼贝格的微博视频 比利时·布鲁塞尔  ",转发微博  ,云登_十尼贝格,无,2020-03-24 00:03,2020/03/24 00:04:13,地铁,iPhone客户端,0,0,0
IzZP0lvoH,1861081560,PXOOO,weibo.cn/1861081560/IzZP0lvoH,True,告诉你们一个秘密，我把微博的字调到了最大号。然后，现在神清气爽。地铁眯眼看手机老大爷本爷了。  ,/,/,无,2020-03-24 00:03,2020/03/24 00:04:13,地铁,无,0,0,0
IzZOSEdzc,6660868901,小宁宁宁宁宁宁宁__,weibo.cn/6660868901/IzZOSEdzc,True,好喜欢秋天稍有点冷的时候，穿一套好看又温暖的衣服，化好妆，吃饱饭然后出门。点一杯珍珠奶茶，坐上公交或地铁去看场电影。最重要的是，这一切，都是为了我自己开心，而不是为了赴某个人的约。  [组图共9张] 原图 ,/,/,无,2020-03-24 00:03,2020/03/24 00:04:13,地铁,Android,0,0,0
IzZPb0D7Y,3570546393,源味薄荷糖叻,weibo.cn/3570546393/IzZPb0D7Y,True,又翻到了这个视频一起来看帅哥我的同桌是2逼的秒拍视频  ,/,/,无,2020-03-24 00:03,2020/03/24 00:04:53,地铁,无,0,0,0
IzZPwwSP0,1785159712,_sasha潘潘,weibo.cn/1785159712/IzZPwwSP0,True,今天在地铁站看到郎朗老婆的广告，总觉得美则美矣，不够耐看。五官太艳丽了。  ,/,/,无,2020-03-24 00:04,2020/03/24 00:05:25,地铁,vivo Y3 闪充强续航,0,0,0
IzZPsEZzH,6663170434,大西洋吐槽君,weibo.cn/6663170434/IzZPsEZzH,True,#武汉地铁已做好恢复运营准备#了  ,/,/,无,2020-03-24 00:04,2020/03/24 00:05:25,地铁,Android,0,0,0
IzZPox7YP,1103435142,顾霖霖霖霖,weibo.cn/1103435142/IzZPox7YP,True,#王大陆[超话]#姐妹们那什么我才发现一直没有关注大嘴哈哈哈哈哈哈不要打我！！我从重返二十八岁就觉得他好看然后还有那个我的少女时代！！还有一吻定情！！！！严岩地铁上那个笑呜呜呜呜呜呜呜帅哥我来磕颜啦！！！！  ,/,/,无,2020-03-24 00:04,2020/03/24 00:05:25,地铁,王大陆超话,0,0,0
IzZPnkSob,1677889513,古元钧0924,weibo.cn/1677889513/IzZPnkSob,False,#蜡笔小新# 太爽了！小新坐地铁，把地铁里不文明的人全都讽刺了一遍 蜡笔小新那些事儿的微博视频  ,转发微博  ,蜡笔小新那些事儿,无,2020-03-24 00:04,2020/03/24 00:05:25,地铁,nova4自拍极点全面屏,0,0,0
IzZPHspgk,5600564001,啦啦啦种太阳啦啦啦种太阳啦啦啦,weibo.cn/5600564001/IzZPHspgk,False,#蜡笔小新# 太爽了！小新坐地铁，把地铁里不文明的人全都讽刺了一遍 蜡笔小新那些事儿的微博视频  ,不愧是小新  ,蜡笔小新那些事儿,无,2020-03-24 00:05,2020/03/24 00:06:00,地铁,iPhone,0,0,0
