微博ID,用户id,用户昵称,微博链接,是否为原创微博,内容,转发理由,原始用户,发布位置,发布时间,信息采集时间,关键词,发布工具,转发数,评论数,点赞数
IzWhHxZTL,2141019845,考CPA的女人,weibo.cn/2141019845/IzWhHxZTL,True,虽然最近定的计划都执行的不是特别到位，但该立的规矩还是要立的，审计700页，月底之前一天100页过一遍。说去上班的，孩子不开学，开学了又该准备去考初级了，一心不能二用，如果去上班刚开始肯定比较忙，考试的战线就又拉长了。先专心把一件事干再说吧，孩子慢慢大了，只要准备好了随时都能上班。加油吧！ http://t.cn/RiwvB7N 显示地图 ,/,/,http://t.cn/RiwvB7N,2020-03-23 15:02,2020/03/23 15:03:46,开学,荣耀手机 勇敢做自己,0,0,0
IzWhHhoGS,6334355519,爱云吸橘的朱无忧,weibo.cn/6334355519/IzWhHhoGS,True,#开学时间#到底确定了没有啊，没确定您要什么热度，给我下去  ,/,/,无,2020-03-23 15:02,2020/03/23 15:03:46,开学,无,0,0,0
IzWhHf2Ez,6193940082,清宇生,weibo.cn/6193940082/IzWhHf2Ez,True,坐等开学  [组图共3张] 原图 ,/,/,无,2020-03-23 15:02,2020/03/23 15:03:46,开学,荣耀10 AI变色更潮美,0,0,0
IzWhGFGOD,1559755023,上帝爱子,weibo.cn/1559755023/IzWhGFGOD,True,啊！彩雲之南🙏#云南开学#  原图 ,/,/,无,2020-03-23 15:02,2020/03/23 15:03:46,开学,HUAWEI P10,0,0,0
IzWhGo2qf,2003190825,青岛校园,weibo.cn/2003190825/IzWhGo2qf,True,#云南开学#哦！又一个省份开学了，然鹅和#山东开学时间# 无瓜  原图 ,/,/,无,2020-03-23 15:02,2020/03/23 15:03:46,开学,夏天的风&Android,0,0,0
IzWhGnZv6,6823523984,段团团的Marknie,weibo.cn/6823523984/IzWhGnZv6,True,我不想开学  ,/,/,无,2020-03-23 15:02,2020/03/23 15:03:46,开学,前后2000万 OPPO R11,0,0,0
IzWhGlEmT,6747362446,短腿可爱圆脸萝莉呀,weibo.cn/6747362446/IzWhGlEmT,True,班主任说可能4.15开学哎  ,/,/,无,2020-03-23 15:02,2020/03/23 15:03:46,开学,荣耀7C 人脸识别双摄,0,0,0
IzWhG6mqy,5521312218,詩情画意一灘夠失,weibo.cn/5521312218/IzWhG6mqy,True,大学生啥时候开学@陕西省教育厅  ,/,/,无,2020-03-23 15:02,2020/03/23 15:03:46,开学,iPhone客户端,0,0,0
IzWhG3YoQ,2870098957,噜啦噜啦噜拉酱,weibo.cn/2870098957/IzWhG3YoQ,False,有人给塞尔维亚总统武契奇开通了超话，还给总统发私信，这合适吗  [组图共6张] 原图 ,一帮脑残看来不开学都很闲//@已婚渣比迪拜哪扎:能不能不要什么都饭圈化  ,八组兔区爆料,无,2020-03-23 15:02,2020/03/23 15:03:46,开学,无,0,0,0
IzWhFse15,2921898245,浙江捉谣记,weibo.cn/2921898245/IzWhFse15,False,#微博辟谣# 【宁波初三高三3月30日开学？假的！浙江省教育厅仍在评估】近日，一张题为“我省明确开学时间”的图片在宁波家长圈中疯传，显示“宁波教育”媒体发文称初三高三3月30日开学。宁波市教育局负责人答复这是因为该媒体转发江苏的新闻没有改标题内容而导致的。两篇文章内容排版一模一样，很快这张图片的发布媒体也修改了内容和标题，点明此为“江苏省明确开学时间”。对此，浙江省教育厅相关负责人表示：“目前我省尚未明确开学时间。我们根据疫情防控情况，正在科学评估，会提前一周通过权威发布渠道，向社会公布。” 原图 ,宁波初三高三3月30日开学？假的！#捉谣记-浙江疫情辟谣#  ,宁波网警巡查执法,无,2020-03-23 15:02,2020/03/23 15:03:46,开学,荣耀V20 4800万3D相机,0,0,0
IzWhXfq7N,6514762399,Melancholia·,weibo.cn/6514762399/IzWhXfq7N,True,快开学吧 再不开学考不上了  ,/,/,无,2020-03-23 15:03,2020/03/23 15:04:23,开学,iPhone客户端,0,0,0
IzWhXc8k8,5683503053,特级可爱选手,weibo.cn/5683503053/IzWhXc8k8,True,离开学越来越近了  ,/,/,无,2020-03-23 15:03,2020/03/23 15:04:23,开学,iPhone客户端,0,0,0
IzWhWCBAV,7005568918,世界级solo选手,weibo.cn/7005568918/IzWhWCBAV,True,#开学时间#所以，时间表呢一点进来是个嘛玩意  ,/,/,无,2020-03-23 15:03,2020/03/23 15:04:23,开学,Android,0,0,0
IzWhWAtOS,6311405199,朱小妮儿_416,weibo.cn/6311405199/IzWhWAtOS,True,#开学时间#在家待久了看到这个热搜好慌啊，想去又不想去  ,/,/,无,2020-03-23 15:03,2020/03/23 15:04:23,开学,朱一龙的小笼包,0,0,0
IzWhWm6QZ,6656784279,三份敏感,weibo.cn/6656784279/IzWhWm6QZ,True,#TFBOYS[超话]#我开学了[跪了]祝我中考顺利!一中和七周年都能拿下!加油!我们夏天见!  [组图共2张] 原图 ,/,/,无,2020-03-23 15:03,2020/03/23 15:04:23,开学,TFBOYS超话,0,0,0
IzWhW3iPj,5192866162,YANWENHUI_,weibo.cn/5192866162/IzWhW3iPj,True,太想开学了 在家不香了  原图 ,/,/,无,2020-03-23 15:03,2020/03/23 15:04:23,开学,iPhone客户端,0,0,0
IzWhW3i2o,6008661687,星星百褶裙,weibo.cn/6008661687/IzWhW3i2o,True,#日本学校将复课#害 反正我们是过了这个春假 正常开学的  ,/,/,无,2020-03-23 15:03,2020/03/23 15:04:23,开学,啵啵兔兔Android,0,0,0
IzWhV9ctq,2742425207,哈喽呆呆无敌,weibo.cn/2742425207/IzWhV9ctq,True,#当得知开学时间后的你#  ,/,/,无,2020-03-23 15:03,2020/03/23 15:04:23,开学,vivo X20全面屏手机,0,0,0
IzWhT6wXg,5282278866,theMilkyWay-J-,weibo.cn/5282278866/IzWhT6wXg,True,快开学吧快开学吧快开学吧快开学吧快开学吧快开学吧快开学吧快开学吧  ,/,/,无,2020-03-23 15:03,2020/03/23 15:04:23,开学,iPhone客户端,0,0,0
IzWhT5sxL,5580205287,小葵hongyiiiiii,weibo.cn/5580205287/IzWhT5sxL,True,#云南开学#哦吼？！！！开学了？！！！好快啊我们这还没呢希望能慢慢恢复正常生活吧  ,/,/,无,2020-03-23 15:03,2020/03/23 15:04:23,开学,今晚早睡了吗超话,0,0,1
